id,title,date,labels,type
22421,ابلاغ سیاست‌های کلی ایجاد تحول در نظام آموزش و پرورش,1392/02/10,تهاجم فرهنگی؛ سند چشم انداز ۱۴۰۴؛ مردمسالاری دینی؛ بصیرت؛ وزارت آموزش و پرورش‏؛ منافع ملی؛ هویت ملی؛ هویت اسلامی؛ انس با قرآن؛ پیشرفت علمی ایران؛ سیاستهای کلی نظام؛ اصلاح نظام آموزشی؛ تحول بنیادین آموزش و پرورش؛ ,eblaghie
22012,ابلاغ سیاستهای کلی تولید ملی، حمایت از کار و سرمایه ایرانی,1391/11/24,اصل ۴۴ قانون اساسی؛ حمایت از تولید ملی؛ سیاستهای کلی نظام؛ سال تولید ملی، حمایت از کار و سرمایه ایرانی؛ ,eblaghie
37896,ابلاغ سیاست‌های کلی نظام در بخش «کشاورزی»,1391/09/29,,eblaghie
37922,ابلاغ سیاست‌های کلی نظام در موضوع «خودکفایی دفاعی و امنیتی»,1391/09/29,,eblaghie
37897,ابلاغ سیاست‌های کلی نظام در بخش «صنعت»,1391/09/29,,eblaghie
37919,ابلاغ سیاست‌های کلی «آمایش سرزمین»,1390/09/21,,eblaghie
16716,ابلاغ سیاست‌های کلی اشتغال,1390/04/28,اشتغال؛ اشتغال‌زایی؛ حمایت از تولید ملی؛ کالای داخلی؛ فرهنگ کار؛ سیاستهای کلی نظام؛ حمایت از سرمایه ایرانی؛ ,eblaghie
11270,ابلاغ سیاست‌های کلی نظام در امور «شهرسازی»,1389/11/29,الگوی پیشرفت اسلامی ایرانی؛ هویت ملی؛ هویت اسلامی؛ سیاستهای کلی نظام؛ ,eblaghie
11268,ابلاغ سیاست‌های کلی نظام در امور «تشویق سرمایه گذاری»,1389/11/29,اصل ۴۴ قانون اساسی؛ نوآوری و شکوفایی؛ سیاستهای کلی نظام؛ حمایت از سرمایه ایرانی؛ ,eblaghie
11266,ابلاغ سیاست‌های کلی نظام در امور «امنیت فضای تولید و تبادل اطلاعات و ارتباطات(افتا)»,1389/11/29,الگوی پیشرفت اسلامی ایرانی؛ تولید علم؛ هویت ملی؛ هویت اسلامی؛ سیاستهای کلی نظام؛ فضای مجازی؛ امنیت ملّی؛ ,eblaghie
11265,ابلاغ سیاست‌های کلی نظام در امور «ترویج و تحکیم فرهنگ ایثار و جهاد و ساماندهی امور ایثارگران»,1389/11/29,اقتدار ملی؛ دستاوردهای انقلاب اسلامی؛ سیاستهای کلی نظام؛ مقاومت ملت ایران؛ امنیت ملّی؛ ,eblaghie
16985,ابلاغ سیاست‌های کلی نظام در امور «پدافند غیرعامل»,1389/11/29,حمایت از تولید ملی؛ کالای داخلی؛ سیاستهای کلی نظام؛ ,eblaghie
16983,ابلاغ سیاست‌های کلی نظام در امور «مسکن»,1389/11/29,سیاستهای کلی نظام؛ ,eblaghie
10252,ابلاغ نتیجه‌ی قطعی بررسی فقهی و حقوقی وقف اموال دانشگاه آزاد اسلامی,1389/07/18,سیاستهای کلی نظام؛ ,eblaghie
16989,تعیین و ابلاغ سیاستهای کلی اصلاح الگوی مصرف,1389/04/15,سیاستهای کلی نظام؛ ,eblaghie
16992,ابلاغ سیاست‌های کلی نظام اداری,1389/01/31,سیاستهای کلی نظام؛ امنیت روانی؛ ,eblaghie
37899,ابلاغ سیاست‌های کلی قضائی (پنج‌ساله),1388/09/02,,eblaghie
5389,ابلاغ سیاست‌های کلی برنامه پنجم توسعه,1387/10/21,ابلاغ برنامه‌ی پنجم توسعه؛ آزاداندیشی؛ الگوی پیشرفت اسلامی ایرانی؛ سند چشم انداز ۱۴۰۴؛ عدالت اجتماعی؛ عدالت و پیشرفت؛ تحول ‌و ارتقاء‌ علوم‌ انسانی؛ مهندسی فرهنگی؛ نقشه‏ جامع علمی؛ نظام سلطه؛ حقوق زن؛ کالای داخلی؛ وجدان کاری؛ منافع ملی؛ نظریه‌پردازی؛ خودکفایی؛ ارتباط صنعت و دانشگاه؛ تمدن اسلامی؛ اقتصاد بدون نفت؛ امنیت اقتصادی؛ نهضت خدمت‌رسانی؛ عزم ملی؛ ارزش‌های انقلاب اسلامی؛ سیاستهای کلی نظام؛ حمایت از سرمایه ایرانی؛ تحول بنیادین آموزش و پرورش؛ مشارکت مردم؛ ,eblaghie
32758,سیاست‌های کلی مبارزه با مواد مخدر,1385/07/10,سیاستهای کلی نظام؛ دست‌نوشته‌های رهبر انقلاب؛ مواد مخدر؛ ,eblaghie
1400,ابلاغ سیاست‌های راهبردی و بسیار مهم نظام درباره بند ج اصل چهل و چهار قانون اساسی,1385/04/11,اصل ۴۴ قانون اساسی؛ سیاستهای کلی نظام؛ ,eblaghie
37895,ابلاغ سیاست‌های کلی نظام برای پیشگیری و کاهش خطرات ناشی از سوانح طبیعی و حوادث غیرمترقبه,1384/06/25,,eblaghie
165,ابلاغ سیاستهای کلی اصل ۴۴ قانون اساسی,1384/03/01,اصل ۴۴ قانون اساسی؛ عدالت اجتماعی؛ سیاستهای کلی نظام؛ حمایت از سرمایه ایرانی؛ ,eblaghie
37764,ابلاغ سیاست‌های کلی برنامه چهارم توسعه,1382/09/20,,eblaghie
16995,سند چشم‌انداز جمهوری اسلامی ایران در افق ۱۴۰۴,1382/08/12,سند چشم انداز ۱۴۰۴؛ سیاستهای کلی نظام؛ ,eblaghie
37755,ابلاغ سیاست‌های کلی «امنیت قضائی»,1381/07/28,,eblaghie
29285,سیاست‌های‌ کلی‌ بخش‌ «حمل‌ و نقل‌»,1379/12/20,سیاستهای کلی نظام؛ ,eblaghie
29284,سیاستهای‌ کلی‌ «منابع‌ طبیعی‌»,1379/12/20,سیاستهای کلی نظام؛ حفظ سرمایه‌های ملی؛ امدادرسانی و مدیریت بلایای طبیعی؛ محیط زیست؛ سند ملی محیط زیست؛ ,eblaghie
29283,سیاستهای‌ کلی‌ «بخش‌ معدن‌»,1379/12/20,سیاستهای کلی نظام؛ چرخه علم و فناوری؛ ,eblaghie
29282,سیاستهای‌ کلی‌ «منابع‌ آب‌»,1379/12/20,سیاستهای کلی نظام؛ رفع مشکلات آب؛ ,eblaghie
29281,سیاستهای‌ کلی‌ «امنیت‌ اقتصادی‌»,1379/12/20,امنیت اقتصادی؛ سیاستهای کلی نظام؛ سیاست اقتصادی؛ سیاست‌های اقتصادی؛ اصلاح وضعیت اقتصادی ایران؛ ,eblaghie
29280,سیاست‌های کلی نظام در زمینه‌ی «انرژی‌»,1379/12/20,اقتصاد نفتی؛ نفت؛ سیاستهای کلی نظام؛ ,eblaghie
3055,نامه به سران قوای سه‌‌گانه و ابلاغ سیاستهای کلی نظام‌,1379/12/20,اصلاح الگوی مصرف؛ امنیت اقتصادی؛ عزم ملی؛ سیاستهای کلی نظام؛ اقتدار اقتصادی؛ حمایت از سرمایه ایرانی؛ مشارکت مردم؛ ,eblaghie
2946,ابلاغ سیاست‌های کلی برنامه سوم‌ توسعه,1378/02/30,تهاجم فرهنگی؛ عدالت اجتماعی؛ عدالت و پیشرفت؛ نوآوری و شکوفایی؛ آراستگی به فضائل اخلاقی؛ حمایت از تولید ملی؛ کالای داخلی؛ منافع ملی؛ خودکفایی؛ پیشرفت علمی ایران؛ عزت حکمت مصلحت؛ نهضت خدمت‌رسانی؛ ارزش‌های انقلاب اسلامی؛ سیاستهای کلی نظام؛ حمایت از سرمایه ایرانی؛ ,eblaghie
37674,سیاست‌های کلی «شبکه‌های اطلاع‌رسانی رایانه‌ای»,1377/07/11,,eblaghie
2692,ابلاغ سیاست‌های کلی برنامه دوم‌ توسعه,1372/08/18,عدالت اجتماعی؛ حمایت از تولید ملی؛ کالای داخلی؛ مصرف‌‌گرایی؛ عزت حکمت مصلحت؛ ارزش‌های انقلاب اسلامی؛ اخلاق اجتماعی؛ امنیت ملّی؛ ,eblaghie
17003,ابلاغ متن تجدید نظر شده‌ی قانون اساسی,1368/05/14,اصل ۴۴ قانون اساسی؛ قانون اساسی جمهوری اسلامی ایران؛ ,eblaghie
2146,پاسخ به نامه‌ی آیت‌الله مشکینی و ابلاغ فرمان برگزاری همه‌پرسی اصلاحیه‌ی قانون اساسی به دولت و وزارت کشور,1368/04/28,,eblaghie
40753,گزیده‌ای از بیانات در مسجد امام حسن مجتبی (علیه‌السلام),1352/12/24,تفکر شیعه؛ ,baianat
50996,بیانات در نشست سه‌جانبه با شهید مطهری و دکتر شریعتی,1355/10/10,نبوت؛ حضرت محمد مصطفی (صلی‌الله‌علیه‌وآله‌وسلم)؛ حضرت امام حسین(علیه السلام)؛ شهید مطهری‏؛ علی شریعتی؛ تحلیل حادثه عاشورا؛ قیام امام حسین(علیه السلام)؛ زندگی امام حسین (علیه السلام)؛ امانت؛ شناخت امام حسین(ع)؛ از تبیین تا قیام؛ ,baianat
48266,بیانات در مراسم قرائت خطبه عقد ازدواج,1356/01/11,ازدواج؛ خانواده؛ خانواده در اسلام؛ زندگی امیرالمؤمنین(علیه السلام)؛ زندگی حضرت فاطمه زهرا(سلام الله علیها)؛ ازدواج آسان؛ ,baianat
40189,گزیده‌ای از بیانات در حرم مطهر رضوی,1357/08/29,,baianat
24904,تغییر نام ورزشگاه مشهد به‌نام «غلامرضا تختی» توسط آیت‌الله خامنه‌ای,1357/08/16,سوابق مبارزاتی آیت‌الله العظمی خامنه‌ای (مدظله)؛ غلامرضا تختی؛ ,baianat
46735,بیانات در دانشگاه فردوسی مشهد,1357/08/08,,baianat
43112,خطبه‌‌های نماز جمعه در مسجد آل الرسول(ص) ایرانشهر,1357/02/22,,baianat
38027,بیانات در مسجد اعظم قم به‌مناسبت دومین سالگرد شهادت آیت‌الله سیدمصطفی خمینی,1358/07/30,دشمن‌شناسی؛ دوقطبی انقلاب و استکبار؛ ,baianat
50069,بیانات به مناسبت شب بیست‌و‌یکم ماه مبارک رمضان,1358/05/24,شهادت امیرالمؤمنین(علیه السلام)؛ ,baianat
24582,اولین نماز جمعه‌ بعد از شروع جنگ تحمیلی,1359/07/04,نماز جمعه؛ اقشار مختلف مردم؛ عمرو بن عبدود؛ ,baianat
27184,بیانات در خطبه‌های نماز جمعه تهران,1359/05/17,نماز جمعه؛ اقشار مختلف مردم؛ ,baianat
35526,گزیده‌ای از بیانات در دیدار مسئولان تبلیغات نهادهاى انقلابى و مدیران وزارت ارشاد,1360/10/08,,baianat
20163,بیانات در دومین مصاحبه با خبرنگار واحد مرکزی خبر در بیمارستان پس از حادثه ترور,1360/04/17,مقاومت ملت ایران؛ ترور آیت الله خامنه‌ای؛ ,baianat
20107,بیانات در اولین مصاحبه با خبرنگار واحد مرکزی خبر در بیمارستان پس از حادثه ترور,1360/04/11,ترور آیت الله خامنه‌ای؛ ,baianat
20081,بیانات در جلسه پرسش و پاسخ در مسجد ابوذر تهران,1360/04/06,,baianat
20082,بیانات در خطبه‌های نماز جمعه تهران,1360/04/05,جامعه اسلامی؛ نماز جمعه؛ انقلابیگری؛ حضور مردم در صحنه؛ اقشار مختلف مردم؛ ,baianat
50508,بیانات در اجتماع اقشار مختلف مردم به مناسبت شهادت دکتر مصطفیٰ چمران,1360/04/02,,baianat
20113,نطق در مجلس شورای اسلامی در جلسه بررسی کفایت سیاسی بنی‌صدر,1360/03/31,استقلال ملی؛ ,baianat
23349,بیانات در اولین کنگره بین‌المللی نهج‌‌البلاغه,1360/02/29,جامعه اسلامی؛ دموکراسی غربی؛ حضور مردم در صحنه؛ ,baianat
48287,گزیده‌ای از بیانات به مناسبت شهادت امام باقر(ع),1361/07/02,حضرت امام محمد باقر (علیه‌السلام)؛ ,baianat
46569,گزیده‌ای از بیانات در دیدار اساتید، دانشجویان و کارکنان دانشکده خلبانى نیروى هوایى ارتش,1361/06/02,,baianat
30579,مصاحبه مطبوعاتى پیرامون حادثه هشتم شهریور,1361/05/26,,baianat
1518,بیانات در خطبه‌های نمازجمعه تهران,1361/03/14,نماز جمعه؛ حضور مردم در صحنه؛ نصرت الهی؛ قدرت تحلیل سیاسی؛ نهضت پانزده خرداد؛ تاریخ نهضت امام خمینی(ره) و قیام 15 خرداد؛ اقشار مختلف مردم؛ ,baianat
48996,گزیده‌ای از بیانات در دیدار استانداران,1361/02/17,,baianat
46571,گزیده‌ای از خطبه‌‌های نماز جمعه تهران,1362/11/14,,baianat
24725,مصاحبه پیرامون شهادت حاج آقا مصطفی خمینی در سال ۶۲,1362/07/20,شهید؛ شهادت؛ شهید آیت‌الله سید مصطفی خمینی؛ ,baianat
30578,سخنرانى در مراسم بزرگداشت شهیدان رجائى و باهنر,1362/06/08,مردمی بودن مسئولان؛ ,baianat
25307,خطبه‌های نماز جمعه تهران,1362/05/14,مردمسالاری دینی؛ جامعه اسلامی؛ نماز جمعه؛ اقشار مختلف مردم؛ ,baianat
48186,گزیده‌ای از بیانات در مصاحبه‌ی مطبوعاتی درباره حادثه هفتم تیر,1362/04/06,شهید بهشتی‏؛ روز هفتم تیر؛ شهدای هفتم تیر؛ ,baianat
49832,گزیده‌ای از بیانات در روز نیمه شعبان,1362/03/07,,baianat
20616,مصاحبه با شبکه دوم تلویزیون درباره خاطرات دوران مبارزات انقلاب اسلامی,1363/11/11,مسجد کرامت مشهد؛ ,baianat
46596,گزیده‌ای از خطبه‌‌های نماز جمعه تهران,1363/09/09,,baianat
24584,تفسیر سوره ملک (آیات ۱ و ۲),1363/08/18,تفسیر قرآن؛ جلسات تفسیر قرآن رهبری؛ دست قدرت الهی؛ ,baianat
48962,گزیده‌ای از مصاحبه با سازمان دانشجویى حزب جمهورى ‌اسلامى به مناسبت سیزدهم آبان,1363/08/07,,baianat
24586,گفتگو پیرامون شهادت استاد مطهری,1363/02/10,شهید مطهری‏؛ آقانجفی قوچانی؛ ,baianat
23348,بیانات در چهارمین کنگره بین‌المللی نهج‌‌البلاغه,1363/01/26,بصیرت؛ جامعه اسلامی؛ بیداری اسلامی؛ ,baianat
49750,گزیده بیانات در کنگره بزرگداشت اقبال لاهوری,1364/12/19,علامه اقبال لاهوری؛ اقبال لاهوری؛ ,baianat
24764,بیانات در مراسم سالگرد شهادت دکتر مفتح,1364/09/26,تحول در حوزه؛ جامعه اسلامی؛ شهید آیت‌الله مفتح؛ منش طلبگی؛ دانشگاه اسلامی؛ جهاد سیاسی؛ وحدت حوزه و دانشگاه؛ ,baianat
50286,گزیده‌ای از بیانات در دیدار جمعی از مردم خرمشهر و آبادان و اعضای ستاد بازسازی خرمشهر,1364/08/05,,baianat
46078,بیانات در سالروز شهادت امام جواد علیه‌السلام در مهدیه تهران,1364/05/26,,baianat
22740,بیانات در گفتگوی انتخاباتی تلویزیونی,1364/05/14,,baianat
21774,خطبه‌های نماز جمعه‌ تهران,1364/01/23,جامعه اسلامی؛ نماز جمعه؛ حضرت امام موسی کاظم (علیه‌السلام)؛ اقشار مختلف مردم؛ ,baianat
23350,بیانات در پنجمین کنگره بین‌المللی نهج‌‌البلاغه,1364/01/19,جامعه اسلامی؛ ,baianat
21492,خطبه‌های نماز جمعه‌ تهران,1365/12/15,جامعه اسلامی؛ نماز جمعه؛ دولت اسلامی؛ اقشار مختلف مردم؛ ,baianat
21491,خطبه‌های نماز جمعه‌ تهران,1365/12/01,جامعه اسلامی؛ نماز جمعه؛ دولت اسلامی؛ مصالح ملّی؛ اقشار مختلف مردم؛ ,baianat
21490,خطبه‌های نماز جمعه‌ تهران,1365/11/17,جامعه اسلامی؛ نماز جمعه؛ آزادی اندیشه؛ اقشار مختلف مردم؛ ,baianat
21489,خطبه‌های نماز جمعه‌ تهران,1365/11/03,جامعه اسلامی؛ نماز جمعه؛ کرامت انسان؛ اقشار مختلف مردم؛ ,baianat
21488,خطبه‌های نماز جمعه‌ تهران,1365/10/19,نماز جمعه؛ اقشار مختلف مردم؛ ,baianat
21487,خطبه‌های نماز جمعه تهران,1365/10/05,جامعه اسلامی؛ نماز جمعه؛ اقشار مختلف مردم؛ ,baianat
21485,خطبه‌های نماز جمعه تهران,1365/09/14,جامعه اسلامی؛ نماز جمعه؛ دولت اسلامی؛ نفوذ دشمن؛ اقشار مختلف مردم؛ ,baianat
46657,بیانات در شب رحلت پیامبر اعظم(ص) و شهادت امام حسن مجتبی(ع) در کانون توحید تهران,1365/08/10,درسهای بعثت؛ ,baianat
12531,بیانات در مصاحبه با خبرنگار صداوسیما درباره دلایل ادامه جنگ پس از فتح خرمشهر,1365/06/26,,baianat
20833,بیانات در  هشتمین اجلاس سران جنبش عدم تعهد,1365/06/14,استقلال‌طلبی؛ اختلال دستگاه محاسباتی؛ جامعه‌ی جهانی؛ زر زور تزویر؛ ,baianat
50651,بیانات در اجتماع دانش‌آموزان ممتاز شرکت‌کننده در اوّلین دوره‌ى مسابقات نهج‌البلاغه‌,1365/05/30,حضرت علی (علیه‌السلام)؛ نهج‌البلاغه؛ شخصیت امیرالمؤمنین(علیه السلام)؛ عید غدیر؛ بزرگترین عید، برترین تبیین؛ ,baianat
45992,بیانات در مراسم افتتاحیه‌ کنگره جهانى حضرت رضا (علیه‌السلام) در مشهد,1365/04/28,,baianat
21501,خطبه‌های نماز جمعه‌ تهران,1366/10/11,جامعه اسلامی؛ نماز جمعه؛ دولت اسلامی؛ اقشار مختلف مردم؛ ,baianat
21502,خطبه‌های نماز جمعه‌ تهران,1366/08/29,جامعه اسلامی؛ نماز جمعه؛ جهاد فرهنگی؛ اقشار مختلف مردم؛ ,baianat
38026,بیانات در دیدار جمعی از طلّاب عازم جبهه,1366/08/29,,baianat
21500,خطبه‌های نماز جمعه‌ تهران,1366/08/15,جامعه اسلامی؛ نماز جمعه؛ دولت اسلامی؛ مصالح ملّی؛ اقشار مختلف مردم؛ ,baianat
21497,خطبه‌های نماز جمعه‌ تهران,1366/07/24,نماز جمعه؛ دولت اسلامی؛ اقشار مختلف مردم؛ ,baianat
8089,بیانات در مجمع عمومی سازمان ملل,1366/06/31,نظام سلطه؛ بیداری اسلامی؛ حضور مردم در صحنه؛ بیداری ملت‌ها؛ نفوذ دشمن؛ ,baianat
49738,گزیده‌ای از بیانات در خطبه‌های نماز جمعه,1366/06/20,,baianat
37763,گزیده‌ای از بیانات در خطبه‌های نماز جمعه تهران,1366/06/06,,baianat
46180,خطبه‌ اول نماز جمعه تهران,1366/05/23,عید غدیر؛ برائت از مشرکین؛ مسئله غدیر؛ ,baianat
21496,خطبه‌های نماز جمعه‌ تهران,1366/04/12,جامعه اسلامی؛ نماز جمعه؛ دموکراسی غربی؛ اقشار مختلف مردم؛ ,baianat
21495,خطبه‌های نماز جمعه‌ تهران,1366/03/22,جامعه اسلامی؛ نماز جمعه؛ دموکراسی غربی؛ اقشار مختلف مردم؛ ,baianat
1210,بیانات در روز ۲۹ ماه مبارک رمضان‌,1366/03/07,,baianat
21494,خطبه‌های نماز جمعه‌ تهران,1366/02/18,جامعه اسلامی؛ نماز جمعه؛ مصالح ملّی؛ اقشار مختلف مردم؛ ,baianat
21493,خطبه‌های نماز جمعه‌ تهران,1366/02/04,جامعه اسلامی؛ نماز جمعه؛ آزادی مطبوعات؛ دولت اسلامی؛ اقشار مختلف مردم؛ ,baianat
44299,گزیده بیانات در خطبه‌های نماز جمعه درباره شهید آیت‌الله مدرس و میرزاکوچک جنگلی,1367/09/11,,baianat
3972,بیانات در آیین گشایش کنگره جهانی حافظ,1367/08/28,حافظ شیرازی؛ احساس مسئولیت؛ دیوان حافظ؛ شعر حافظ؛ ,baianat
3760,بیانات در خطبه‌های نمازجمعه,1367/08/06,قرآن؛ ,baianat
48441,بیانات در جمع رزمندگان لشکر نجف اشرف,1367/05/24,ماه محرم؛ مراسم عزاداری امام حسین (علیه‌السلام)؛ برنامه مراسم عزاداری محرم؛ ,baianat
50664,بیانات در خطبه‌های نماز جمعه تهران,1367/04/31,انقلاب اسلامی؛ امام خمینی(رضوان‌الله‌تعالی‌علیه)؛ قطعنامه 598؛ مقاومت ملت ایران؛ رهبری امام خمینی؛ سیره امام خمینی؛ ,baianat
35524,گزیده‌ای از بیانات در دیدار مسئولان نظامى و انتظامى,1367/04/19,,baianat
50263,گزیده‌ای از بیانات در مراسم تجلیل از پهلوانان,1367/02/27,ورزش باستانی؛ پوریای ولی؛ ,baianat
2279,بیانات در دیدار مسئولان و معلّمان دبیرستان علوم و معارف اسلامى شهید مطهّرى,1368/12/27,انس با قرآن؛ ,baianat
2275,بیانات در دیدار و عمامه‌گذارى جمعى از طلّاب در سالروز میلاد حضرت ولی‌عصر (عجّل ا‌لله‌ تعالى فرجه الشّریف),1368/12/22,,baianat
2276,بیانات در دیدار اقشار مختلف مردم در سالروز میلاد حضرت ولی‌عصر (عجّل ا‌لله‌ تعالى فرجه الشّریف),1368/12/22,عدالت اجتماعی؛ عدالت و پیشرفت؛ صدور انقلاب اسلامی؛ حضور مردم در صحنه؛ مقاومت اسلامی؛ مقاومت ملت ایران؛ بیداری ملت‌ها؛ جبهه مقاومت؛ ,baianat
2274,بیانات پس از بازدید  از ستاد کلّ نیروهاى مسلّح در جمع رئیس و مسئولان این ستاد,1368/12/21,عدالت اجتماعی؛ حقوق بشر؛ ,baianat
2273,بیانات در جلسه‌ تودیع شیخ راغب مصطفی غلوش و شیخ محمّد بسیونی,1368/12/11,انس با قرآن؛ ,baianat
2272,بیانات در دیدار جمعى از پاسداران سپاه پاسداران انقلاب اسلامى و کمیته‌ی انقلاب اسلامى,1368/12/10,عدالت اجتماعی؛ وحدت کلمه؛ بیداری اسلامی؛ اسلام آمریکایی؛ اسلام ناب محمدی؛ دستاوردهای انقلاب اسلامی؛ شجره‌ طیبه‌ انقلاب‌ اسلامی؛ حضور مردم در صحنه؛ حفظ نظام اسلامی؛ ,baianat
2271,بیانات در دیدار فرماندهان نیروى زمینى ارتش جمهورى اسلامى ایران,1368/12/05,وجدان کاری؛ خودکفایی؛ سبک زندگی؛ ,baianat
2270,بیانات در دیدار جمعى از قاریان قرآن,1368/12/04,تهاجم فرهنگی؛ عدالت اجتماعی؛ ,baianat
44169,بیانات در دیدار جمعى از اعضاى جنبش حزب‌ا‌لله‌ لبنان,1368/12/03,حزب الله لبنان؛ لبنان؛ ,baianat
2269,بیانات در دیدار جمعى از روحانیّون مسلمان آفریقایى,1368/12/03,اختلاف‌افکنی؛ ائمه جمعه؛ قاره آفریقا؛ نماز جمعه؛ تمدن اسلامی؛ تمدن‌سازی نوین اسلامی؛ ائمه‌ جمعه؛ دیدارهای رهبر انقلاب با سران کشورهای خارجی؛ آفریقای جنوبی؛ نامیبیا؛ موزامبیک؛ لسوتو؛ ,baianat
2268,بیانات در دیدار جمعى از روحانیّون,1368/12/02,آرمانخواهی؛ بصیرت؛ تولید علم؛ بیداری اسلامی؛ اسلام آمریکایی؛ حضور مردم در صحنه؛ احساس مسئولیت؛ استقلال ملی؛ مردمی بودن مسئولان؛ ,baianat
2266,خطبه‌های نماز جمعه‌ی تهران,1368/11/20,حیات طیبه؛ مردمسالاری دینی؛ بصیرت؛ اعتماد مردم به نظام اسلامی؛ جامعه اسلامی؛ صهیونیسم بین‌‏الملل؛ نماز جمعه؛ بیداری اسلامی؛ حضور مردم در صحنه؛ مردمی بودن مسئولان؛ اقشار مختلف مردم؛ ماندگاری انقلاب اسلامی؛ اصول انقلاب اسلامی؛ ,baianat
2267,بیانات در دیدار جمعى از قاریان قرآن,1368/11/20,انس با قرآن؛ ,baianat
2265,بیانات در دیدار جمعى از فرماندهان و کارکنان نیروى هوایى ارتش جمهورى اسلامى ایران در روز نیروى هوایى,1368/11/19,عبرت‌های انقلاب؛ بصیرت؛ نظام سلطه؛ مقاومت ملت ایران؛ مردمی بودن مسئولان؛ دیدار نیروی هوایی ارتش به مناسبت ۱۹ بهمن؛ ,baianat
2261,بیانات در مراسم اعطاى نشان به فرماندهان عملیّاتهاى کربلاى پنج و کربلاى هفت,1368/11/15,احساس مسئولیت؛ اعطای نشان فتح؛ ,baianat
2260,بیانات در دیدار اقشار مختلف مردم و میهمانان خارجى مراسم دهه‌ی فجر انقلاب اسلامى,1368/11/12,اختلاف‌افکنی؛ حیات طیبه؛ نظام سلطه؛ اهداف نظام جمهوری اسلامی؛ محاصره اقتصادی؛ زر زور تزویر؛ ,baianat
44164,بیانات در دیدار عضو هیئت رئیسه‌ حزب اسلامى مالزى,1368/11/11,مالزی؛ ,baianat
